name,email,course,age
Sabrina Silva,sabrina.silva@hotmail.com,Java,41
Natália Almeida,natália.almeida@yahoo.com,BI,57
Kleber Oliveira,kleber.oliveira@hotmail.com,Python,38
Sabrina Souza,sabrina.souza@outlook.com,Java,25
Denise Santos,denise.santos@outlook.com,Python,32
Joana Almeida,joana.almeida@empresa.com,BI,67
Vanessa Santos,vanessa.santos@hotmail.com,BI,18
Marcos Almeida,marcos.almeida@hotmail.com,Python,30
Sabrina Silva,sabrina.silva@empresa.com,Python,59
Paula Almeida,paula.almeida@outlook.com,Excel,80
Ana Almeida,ana.almeida@empresa.com,Dados,63
Vanessa Almeida,vanessa.almeida@hotmail.com,Python,78
Natália Santos,natália.santos@hotmail.com,Dados,33
Marcos Oliveira,marcos.oliveira@outlook.com,Python,66
Vanessa Oliveira,vanessa.oliveira@hotmail.com,Dados,31
Eduardo Costa,eduardo.costa@empresa.com,Python,49
Tiago Oliveira,tiago.oliveira@yahoo.com,BI,22
Sabrina Santos,sabrina.santos@outlook.com,Java,24
Joana Almeida,joana.almeida@hotmail.com,Excel,38
Carlos Costa,carlos.costa@gmail.com,Excel,23
Carlos Oliveira,carlos.oliveira@gmail.com,Dados,64
Carlos Santos,carlos.santos@empresa.com,BI,54
Eduardo Santos,eduardo.santos@empresa.com,Excel,77
Otávio Souza,otávio.souza@yahoo.com,BI,46
Igor Silva,igor.silva@outlook.com,Python,83
Ana Souza,ana.souza@empresa.com,Dados,26
Paula Silva,paula.silva@yahoo.com,Python,29
Sabrina Almeida,sabrina.almeida@outlook.com,BI,40
Eduardo Almeida,eduardo.almeida@yahoo.com,BI,87
Bruno Oliveira,bruno.oliveira@yahoo.com,Dados,32
Fernanda Souza,fernanda.souza@yahoo.com,BI,87
Igor Souza,igor.souza@empresa.com,BI,42
Carlos Costa,carlos.costa@outlook.com,Dados,79
Helena Oliveira,helena.oliveira@empresa.com,Dados,33
Vanessa Santos,vanessa.santos1@hotmail.com,Excel,46
Denise Oliveira,denise.oliveira@hotmail.com,Dados,81
Carlos Costa,carlos.costa1@outlook.com,Java,44
Paula Souza,paula.souza@empresa.com,Java,74
Igor Costa,igor.costa@empresa.com,Excel,25
Helena Oliveira,helena.oliveira@outlook.com,Python,90
Denise Silva,denise.silva@yahoo.com,Dados,70
Natália Souza,natália.souza@empresa.com,Python,76
Otávio Silva,otávio.silva@gmail.com,Dados,25
Vanessa Almeida,vanessa.almeida@yahoo.com,Java,47
Eduardo Oliveira,eduardo.oliveira@outlook.com,Java,32
Kleber Almeida,kleber.almeida@gmail.com,Excel,36
Rafael Costa,rafael.costa@hotmail.com,Python,47
Igor Souza,igor.souza1@empresa.com,Python,69
Eduardo Costa,eduardo.costa@gmail.com,Python,58
Eduardo Almeida,eduardo.almeida1@yahoo.com,Java,50
Ana Silva,ana.silva@yahoo.com,Dados,47
Ana Costa,ana.costa@outlook.com,Java,60
Natália Souza,natália.souza@yahoo.com,Java,18
Sabrina Santos,sabrina.santos1@outlook.com,Excel,21
Kleber Silva,kleber.silva@yahoo.com,Dados,22
Denise Souza,denise.souza@hotmail.com,Java,47
Rafael Costa,rafael.costa@gmail.com,Java,35
Laura Santos,laura.santos@outlook.com,Excel,33
Ana Costa,ana.costa1@outlook.com,BI,45
Carlos Souza,carlos.souza@outlook.com,Excel,53
Gustavo Silva,gustavo.silva@hotmail.com,Python,21
Laura Costa,laura.costa@hotmail.com,Excel,65
Tiago Santos,tiago.santos@empresa.com,Dados,52
Joana Almeida,joana.almeida1@hotmail.com,Java,67
Eduardo Almeida,eduardo.almeida@hotmail.com,Python,54
Carlos Costa,carlos.costa2@outlook.com,Java,27
Vanessa Santos,vanessa.santos@outlook.com,Python,85
Helena Oliveira,helena.oliveira1@empresa.com,BI,55
Fernanda Oliveira,fernanda.oliveira@gmail.com,Dados,37
Otávio Souza,otávio.souza@outlook.com,BI,57
Denise Souza,denise.souza1@hotmail.com,Java,45
Carlos Costa,carlos.costa@hotmail.com,Excel,39
Igor Silva,igor.silva@empresa.com,BI,63
Paula Souza,paula.souza@hotmail.com,Python,67
Natália Oliveira,natália.oliveira@gmail.com,Dados,71
Paula Oliveira,paula.oliveira@yahoo.com,Excel,56
Denise Souza,denise.souza@yahoo.com,Excel,33
Joana Souza,joana.souza@yahoo.com,Excel,39
Otávio Costa,otávio.costa@outlook.com,BI,27
Eduardo Almeida,eduardo.almeida@gmail.com,Java,52
Fernanda Santos,fernanda.santos@hotmail.com,Dados,56
Vanessa Costa,vanessa.costa@yahoo.com,Excel,79
Paula Costa,paula.costa@hotmail.com,Dados,86
Laura Almeida,laura.almeida@gmail.com,Python,44
Otávio Almeida,otávio.almeida@outlook.com,Excel,63
Gustavo Souza,gustavo.souza@gmail.com,Java,79
Sabrina Oliveira,sabrina.oliveira@yahoo.com,Java,50
Kleber Almeida,kleber.almeida@outlook.com,Python,71
Helena Souza,helena.souza@outlook.com,Java,55
Eduardo Oliveira,eduardo.oliveira@gmail.com,Dados,28
Sabrina Santos,sabrina.santos@hotmail.com,Python,20
Helena Silva,helena.silva@yahoo.com,Dados,26
Kleber Santos,kleber.santos@outlook.com,Excel,71
Marcos Costa,marcos.costa@empresa.com,Python,70
Fernanda Oliveira,fernanda.oliveira@yahoo.com,Java,43
Carlos Oliveira,carlos.oliveira@outlook.com,Python,88
Igor Oliveira,igor.oliveira@hotmail.com,Java,89
Bruno Silva,bruno.silva@hotmail.com,Java,37
Tiago Souza,tiago.souza@empresa.com,Java,40
Vanessa Silva,vanessa.silva@hotmail.com,Python,18
