name,email,course,age
Vanessa Santos,vanessa.santos@empresa.com,Python,86
Ana Oliveira,ana.oliveira@hotmail.com,Java,77
Sabrina Souza,sabrina.souza@yahoo.com,BI,56
Eduardo Santos,eduardo.santos@yahoo.com,Python,34
Rafael Costa,rafael.costa@hotmail.com,Python,80
Igor Costa,igor.costa@hotmail.com,Dados,59
Joana Souza,joana.souza@outlook.com,Excel,67
Eduardo Silva,eduardo.silva@yahoo.com,BI,36
Otávio Oliveira,otávio.oliveira@empresa.com,Dados,55
Rafael Almeida,rafael.almeida@yahoo.com,Python,22
Ana Costa,ana.costa@yahoo.com,Excel,46
Ana Silva,ana.silva@outlook.com,Java,59
Kleber Almeida,kleber.almeida@outlook.com,Java,88
Kleber Oliveira,kleber.oliveira@empresa.com,Excel,81
Eduardo Almeida,eduardo.almeida@hotmail.com,Python,70
Denise Oliveira,denise.oliveira@hotmail.com,Dados,59
Tiago Costa,tiago.costa@empresa.com,Excel,81
Natália Souza,natália.souza@outlook.com,Python,76
Gustavo Silva,gustavo.silva@empresa.com,Java,41
Eduardo Costa,eduardo.costa@yahoo.com,Python,32
Igor Silva,igor.silva@yahoo.com,BI,35
Vanessa Souza,vanessa.souza@empresa.com,Python,19
Gustavo Souza,gustavo.souza@empresa.com,Dados,33
Vanessa Souza,vanessa.souza@gmail.com,Dados,71
Vanessa Almeida,vanessa.almeida@empresa.com,Java,24
Gustavo Silva,gustavo.silva@yahoo.com,Python,80
Laura Costa,laura.costa@outlook.com,Java,55
Igor Santos,igor.santos@gmail.com,Java,77
Fernanda Almeida,fernanda.almeida@outlook.com,BI,61
Otávio Santos,otávio.santos@gmail.com,Java,37
Otávio Silva,otávio.silva@hotmail.com,Dados,24
Tiago Santos,tiago.santos@outlook.com,BI,20
Gustavo Oliveira,gustavo.oliveira@hotmail.com,Python,77
Bruno Costa,bruno.costa@empresa.com,Java,56
Marcos Souza,marcos.souza@empresa.com,Dados,60
Carlos Costa,carlos.costa@gmail.com,BI,75
Natália Souza,natália.souza1@outlook.com,Java,37
Paula Silva,paula.silva@empresa.com,Java,55
Sabrina Silva,sabrina.silva@outlook.com,BI,56
Marcos Oliveira,marcos.oliveira@yahoo.com,Excel,36
Tiago Silva,tiago.silva@gmail.com,Dados,69
Helena Santos,helena.santos@empresa.com,BI,77
Otávio Oliveira,otávio.oliveira1@empresa.com,Dados,39
Kleber Almeida,kleber.almeida@gmail.com,Java,37
Carlos Costa,carlos.costa@outlook.com,Excel,33
Otávio Souza,otávio.souza@empresa.com,Java,34
Eduardo Oliveira,eduardo.oliveira@outlook.com,Dados,77
Carlos Souza,carlos.souza@gmail.com,Dados,84
Helena Almeida,helena.almeida@hotmail.com,Excel,72
Eduardo Silva,eduardo.silva@outlook.com,Dados,25
Eduardo Costa,eduardo.costa1@yahoo.com,BI,23
Carlos Almeida,carlos.almeida@yahoo.com,Dados,88
Paula Costa,paula.costa@hotmail.com,Java,57
Gustavo Silva,gustavo.silva1@empresa.com,Excel,31
Helena Almeida,helena.almeida1@hotmail.com,Java,52
Gustavo Almeida,gustavo.almeida@yahoo.com,BI,30
Eduardo Santos,eduardo.santos@outlook.com,Python,22
Tiago Santos,tiago.santos@yahoo.com,Excel,44
Otávio Costa,otávio.costa@hotmail.com,Excel,72
Kleber Almeida,kleber.almeida1@gmail.com,Dados,80
Fernanda Santos,fernanda.santos@empresa.com,Dados,82
Helena Almeida,helena.almeida@outlook.com,Java,83
Rafael Silva,rafael.silva@hotmail.com,BI,31
Gustavo Almeida,gustavo.almeida@gmail.com,Excel,64
Marcos Almeida,marcos.almeida@outlook.com,Dados,57
Fernanda Santos,fernanda.santos@yahoo.com,Java,56
Igor Souza,igor.souza@outlook.com,BI,64
Natália Oliveira,natália.oliveira@hotmail.com,Dados,32
Paula Souza,paula.souza@gmail.com,Dados,21
Eduardo Oliveira,eduardo.oliveira@hotmail.com,Excel,87
Joana Silva,joana.silva@empresa.com,Excel,28
Laura Costa,laura.costa@yahoo.com,Python,26
Vanessa Santos,vanessa.santos@hotmail.com,Excel,44
Laura Almeida,laura.almeida@gmail.com,Java,32
Marcos Almeida,marcos.almeida@gmail.com,Java,90
Paula Costa,paula.costa@outlook.com,Dados,33
Laura Santos,laura.santos@hotmail.com,BI,25
Sabrina Almeida,sabrina.almeida@hotmail.com,BI,31
Gustavo Souza,gustavo.souza@yahoo.com,BI,28
Laura Costa,laura.costa@gmail.com,Dados,63
Tiago Oliveira,tiago.oliveira@hotmail.com,Dados,81
Eduardo Costa,eduardo.costa@hotmail.com,Python,59
Sabrina Costa,sabrina.costa@outlook.com,Excel,40
Ana Souza,ana.souza@hotmail.com,Java,32
Carlos Costa,carlos.costa1@outlook.com,Python,88
Otávio Almeida,otávio.almeida@yahoo.com,Dados,68
Denise Silva,denise.silva@hotmail.com,Dados,69
Bruno Souza,bruno.souza@yahoo.com,Excel,88
Tiago Costa,tiago.costa@yahoo.com,Excel,89
Fernanda Oliveira,fernanda.oliveira@empresa.com,Dados,71
Gustavo Oliveira,gustavo.oliveira@outlook.com,Dados,25
Otávio Silva,otávio.silva@yahoo.com,Java,35
Marcos Souza,marcos.souza@outlook.com,BI,32
Kleber Santos,kleber.santos@yahoo.com,Java,81
Tiago Oliveira,tiago.oliveira1@hotmail.com,BI,62
Vanessa Almeida,vanessa.almeida@outlook.com,Excel,68
Laura Almeida,laura.almeida@outlook.com,Java,77
Bruno Santos,bruno.santos@outlook.com,BI,84
Marcos Almeida,marcos.almeida@yahoo.com,Excel,60
Rafael Oliveira,rafael.oliveira@empresa.com,Dados,42
